name,year,summary,url
Bibliography of World War II memoirs and autobiographies,Unknown,"This is a Bibliography of World War II memoirs and autobiographies. This list aims to include memoirs written by participants of World War II about their wartime experience, as well as larger autobiographies of participants of World War II that are at least partially concerned with the author's wartime experience. Works on this list should be all those primary accounts of World War II wartime experience intended for publication. The list does not aim to include diaries, private letter collection",https://en.wikipedia.org/wiki/Bibliography_of_World_War_II_memoirs_and_autobiographies
Elchingen,Unknown,"The Battle of Elchingen, fought on 14 October 1805, saw French forces under Michel Ney rout an Austrian corps led by Johann Sigismund Riesch. This defeat led to a large part of the Austrian army being invested in the fortress of Ulm by the army of Emperor Napoleon Bonaparte of France while other formations fled to the east. Soon afterward, the Austrians trapped in Ulm surrendered and the French mopped up most of the remaining Austrian forces, bringing the Ulm Campaign to a close.
In late Septemb",https://en.wikipedia.org/wiki/Battle_of_Elchingen
the Pusan Perimeter order of battle,Unknown,"This is the order of battle for United Nations and North Korean forces during the Battle of Pusan Perimeter in August and September 1950 during the Korean War. The engagement brought each side to muster substantial ground, air and sea resources to fight across southeastern Korea.
The UN brought to bear hundreds of units from member countries South Korea, the United States, and the United Kingdom. Several other nations augmented the large naval task forces with ships of their own, including Austr",https://en.wikipedia.org/wiki/Battle_of_the_Pusan_Perimeter_order_of_battle
Servile Wars,Unknown,"The Servile Wars were a series of three slave revolts (""servile"" is derived from servus, Latin for ""slave"") in the late Roman Republic:

First Servile War (135−132 BC)  —  in Sicily, led by Eunus, a former slave claiming to be a prophet, and Cleon from Cilicia.
Second Servile War (104−100 BC) — in Sicily, led by Athenion and Tryphon.
Third Servile War  (73−71 BC) — on mainland Italy, led by Spartacus.",https://en.wikipedia.org/wiki/Servile_Wars
Napoleonic Wars in fiction,Unknown,"The Napoleonic Wars were a defining event of the early 19th century, and inspired many works of fiction, from then until the present day.

Napoleon himself wrote Clisson et Eugénie (1795), a romantic novella about   a soldier and his lover, widely acknowledged as being a fictionalised account of his own relationship with Eugénie Désirée Clary.
In January 1826 The Kaleidoscope: or, Literary and Scientific Mirror magazine published an account by Arna Cano of Moustache, a dog who had participated i",https://en.wikipedia.org/wiki/Napoleonic_Wars_in_fiction
the Persian Border,Unknown,"The Battle of the Persian Border was the second encounter between the forces of Media and Persia. Though not a decisive victory for Persia, it signaled the diminishing power of Media in southwest Asia. It was the first battle Cambyses I had fought in, and the first which he had fought with his son, Cyrus the Great. The first major battle, which lasted two days, was an attempt to bring freedom to Persia. It also prompted the Persians to retire south and fight a third battle.
It was narrated by Ni",https://en.wikipedia.org/wiki/Battle_of_the_Persian_Border
West Hunan,Unknown,"The Battle of West Hunan (Chinese: 湘西會戰), also known as the Battle of Xuefeng Mountains (Chinese: 雪峰山戰役) and the Zhijiang Campaign (Chinese: 芷江戰役), was the Japanese invasion of west Hunan and the subsequent Allied counterattack that occurred between 6 April and 7 June 1945, during the last months of the Second Sino-Japanese War. Japanese strategic aims for this campaign were to seize Chinese airfields and secure railroads in West Hunan, and to achieve a decisive victory that their depleted land ",https://en.wikipedia.org/wiki/Battle_of_West_Hunan
Suiyang,Unknown,"The siege of Suiyang was a military campaign during the An Lushan rebellion, launched by the rebel Yan army to capture the city of Suiyang from forces loyal to the Tang dynasty. Although the battle was ultimately won by the Yan army, it suffered major attrition of manpower and time. The siege was noted for the Tang army's determination to fight to the last man, as well as the large-scale cannibalism practised by the defenders, who in this way were able to hold out longer.

",https://en.wikipedia.org/wiki/Siege_of_Suiyang
List of battles in South Africa,Unknown,"List of battles in South Africa is a list of all military conflicts, wars or battles fought within the borders of South Africa.",https://en.wikipedia.org/wiki/List_of_battles_in_South_Africa
Chesapeake campaign,Unknown,"The Chesapeake campaign, also known as the Chesapeake Bay campaign, of the War of 1812 was a British naval campaign that took place from 23 April 1813 to 14 September 1814 on and around the Delaware and Chesapeake bays of the United States.",https://en.wikipedia.org/wiki/Chesapeake_campaign
Kulikovo,Unknown,"The Battle of Kulikovo (Russian: Куликовская битва, romanized: Kulikovskaya bitva) was fought between the forces of Mamai, a powerful Mongol military commander of the Golden Horde, and Russian forces led by Grand Prince Dmitry of Moscow. The battle took place on 8 September 1380, at Kulikovo Field near the Don River (now Tula Oblast, Russia) and was won by Dmitry, who became known as Donskoy (""of the Don"") after the battle.
Although the victory did not end Mongol domination over Russia, it is tr",https://en.wikipedia.org/wiki/Battle_of_Kulikovo
Kiratpur,Unknown,"The Battle of Kiratpur, also known as the Battle of Kiratpur Sahib, took place between the Sikhs, commanded by Guru Hargobind, and the Mughals, commanded by the Ruler and Pathans of Ropar. It was the last skirmish between the Sikhs and the Mughals.

",https://en.wikipedia.org/wiki/Battle_of_Kiratpur
Falklands War,Unknown,"The Falklands War (Spanish: Guerra de las Malvinas) was a ten-week undeclared war between Argentina and the United Kingdom in 1982 over two British dependent territories in the South Atlantic: the Falkland Islands and its territorial dependency, South Georgia and the South Sandwich Islands. The conflict began on 2 April 1982, when Argentina invaded and occupied the Falkland Islands, followed by the invasion of South Georgia the next day. On 5 April, the British government dispatched a naval task",https://en.wikipedia.org/wiki/Falklands_War
List of battles involving the Mughal Empire,Unknown,"The Mughal Empire was founded in 1526 by Babur. He defeated Ibrahim Lodi in the First Battle of Panipat, marking the beginning of Mughal dominance. Babur went on to defeat the powerful Rajput confederacy of Rana Sanga in his decisive victory in the Battle of Khanwa, which solidified Mughal rule in India. The empire continued to expand, reaching its greatest territorial extent during the reign of Aurangzeb.",https://en.wikipedia.org/wiki/List_of_battles_involving_the_Mughal_Empire
Acre (1189–1191),Unknown,"The siege of Acre was the first significant counterattack by Guy of Jerusalem against Saladin, leader of the Muslims in Syria and Egypt.  This pivotal siege formed part of what later became known as the Third Crusade. The siege lasted from August 1189 until July 1191, at which time the city's coastal position meant the attacking Latin forces were unable to fully capture the city and Saladin was unable to fully relieve it, with both sides receiving supplies and resources by sea. It concluded as a",https://en.wikipedia.org/wiki/Siege_of_Acre_(1189%E2%80%931191)
Eswatini in World War II,Unknown,"Eswatini (known at the time as Swaziland) remained a British protectorate throughout World War II. As such, it fought alongside the Allies against the Axis. While no large scale battles or major military operations took place in or around Eswatini, the colony did supply the Allies with troops during the war. World War II was also responsible for several important domestic developments in Eswatini.",https://en.wikipedia.org/wiki/Eswatini_in_World_War_II
Russo-Ukrainian war (2022–present),Unknown,"On 24 February 2022, Russia invaded Ukraine, starting the largest and deadliest war in Europe since World War II, in a major escalation of the war between the two countries that began in 2014. The fighting has caused hundreds of thousands of military casualties and tens of thousands of Ukrainian civilian casualties. As of 2025, Russian troops occupy about 20% of Ukraine. From a population of 41 million, about 8 million Ukrainians had been internally displaced and more than 8.2 million had fled t",https://en.wikipedia.org/wiki/Russo-Ukrainian_war_(2022%E2%80%93present)
United States prisoners of war during the Vietnam War,Unknown,"Members of the United States armed forces were held as prisoners of war (POWs) in significant numbers during the Vietnam War from 1964 to 1973. Unlike U.S. service members captured in World War II and the Korean War, who were mostly enlisted troops, the overwhelming majority of Vietnam-era POWs were officers, most of them Navy, Air Force, and Marine Corps airmen; a relatively small number of Army enlisted personnel were also captured, as well as one enlisted Navy seaman, Petty Officer Doug Hegda",https://en.wikipedia.org/wiki/United_States_prisoners_of_war_during_the_Vietnam_War
Operation Sunrise (Vietnam War),Unknown,"Operation Sunrise was the first phase of a long-range South Vietnamese counter-offensive against the Việt Cộng (VC) during the Vietnam War. Launched with the United States in March 1962, the goal of the operation was to ""clear the VC from an area 40 miles northwest of Saigon"" according to contemporary U.S. government documents. Beginning in the Bến Cát District of the Bình Dương Province 35 miles (56 km) from Saigon, it grew to include the provinces of Tây Ninh and Phước Tuy. The concept of ""str",https://en.wikipedia.org/wiki/Operation_Sunrise_(Vietnam_War)
the Ialomița,Unknown,"The Battle of the Ialomița was fought between the army of the Kingdom of Hungary and the Ottoman Empire in 1442, John Hunyadi defeated the army of Şehabeddin Pasha, the Provincial Governor of Rumelia, at the Ialomița River.
The Ottoman advance that began in 1438 was halted at the Siege of Belgrade in 1440, which castle was regarded as the southern gate of the Hungarian Kingdom. While Turkish raids into the Kingdom of Hungary continued intermittently over the following years, up until the crushin",https://en.wikipedia.org/wiki/Battle_of_the_Ialomi%C8%9Ba
Waterloo,Unknown,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom of the Netherlands, now in Belgium), marking the end of the Napoleonic Wars. The French Imperial Army under the command of Napoleon I was defeated by two armies of the Seventh Coalition. One was a British-led force with units from the United Kingdom, the Netherlands, Hanover, Brunswick, and Nassau, under the command of field marshal Arthur Wellesley, Duke of Wellington. The other comprised three c",https://en.wikipedia.org/wiki/Battle_of_Waterloo
Western theater of the American Civil War,Unknown,"The western theater of the American Civil War encompassed major military operations in the states of Alabama, Georgia, Florida, Mississippi, North Carolina, Kentucky, South Carolina and Tennessee, as well as Louisiana east of the Mississippi River. Operations on the coasts of these states, except for Mobile Bay, are considered part of the lower seaboard theater. Most other operations east of the Appalachian Mountains are part of the eastern theater. Operations west of the Mississippi River took ",https://en.wikipedia.org/wiki/Western_theater_of_the_American_Civil_War
First Balkan War,Unknown,"The First Balkan War lasted from October 1912 to May 1913 and involved actions of the Balkan League (the Kingdoms of Bulgaria, Serbia, Greece and Montenegro) against the Ottoman Empire. The Balkan states' combined armies overcame the initially numerically inferior (significantly superior by the end of the conflict) and strategically disadvantaged Ottoman armies, achieving rapid success.
The war was a comprehensive and unmitigated disaster for the Ottomans, who lost 83% of their European territor",https://en.wikipedia.org/wiki/First_Balkan_War
the Coral Sea,Unknown,"The Battle of the Coral Sea, from 4 to 8 May 1942, was a major naval battle between the Imperial Japanese Navy (IJN) and naval and air forces of the United States and Australia. Taking place in the Pacific Theatre of World War II, the battle was the first naval action in which the opposing fleets neither sighted nor fired upon one another, attacking over the horizon from aircraft carriers instead. It was also the first military battle between aircraft carriers.
To strengthen their defensive posi",https://en.wikipedia.org/wiki/Battle_of_the_Coral_Sea
Manila (1945),Unknown,"The Battle of Manila (Filipino: Labanan sa Maynila; Japanese: マニラの戦い, romanized: Manira no Tatakai; Spanish: Batalla de Manila; 3 February – 3 March  1945) was a major battle during the Philippine campaign of 1944–45, during the Second World War. It was fought by forces from both the United States and the Philippines against Japanese troops in Manila, the capital city of the Philippines. The month-long battle, which resulted in the death of at least 100,000 civilians and the complete devastation",https://en.wikipedia.org/wiki/Battle_of_Manila_(1945)
Seven Years' War,Unknown,"The Seven Years' War, 1756 to 1763, was a global Great Power war fought primarily in Europe, with significant subsidiary campaigns in North America and South Asia. The warring states were Great Britain and Prussia fighting against France and Austria, with other countries joining these coalitions: Portugal, Spain, Saxony, Sweden, and Russia. Related conflicts include the Third Silesian War, French and Indian War, Third Carnatic War, Anglo-Spanish War (1762–1763), and Spanish–Portuguese War.
Altho",https://en.wikipedia.org/wiki/Seven_Years%27_War
Viking raid warfare and tactics,Unknown,"The term ""Viking Age"" refers to the period roughly from 790s to the late 11th century in Europe, though the Norse raided Scotland's western isles well into the 12th century. In this era, Viking activity started with raids on Christian lands in England and eventually expanded to mainland Europe, including parts of present-day Belarus, Russia and Ukraine.
While maritime battles were very rare, Viking bands proved very successful in raiding coastal towns and monasteries due to their efficient warsh",https://en.wikipedia.org/wiki/Viking_raid_warfare_and_tactics
Meretun,Unknown,"The Battle of Meretun (or Merton) between a West Saxon army led by King Æthelred and his brother, the future King Alfred the Great, and a Viking army took place on 22 March 871 at an unknown location in Wessex, probably in one of the modern counties of Dorset, Hampshire, or Wiltshire.",https://en.wikipedia.org/wiki/Battle_of_Meretun
Singoli,Unknown,"The Battle of Singoli was a military engagement on land, fought between the rebelling forces of Mewar, led by Hammir Singh, and the Delhite forces at Singoli, in present-day Madhya Pradesh, India.
Hammir Singh had gained control of Mewar by evicting Maldev's son Jaiza, the Chauhan vassal of the Delhi Sultanate. Jaiza fled to the Delhi court of Muhammad bin Tughluq, prompting Tughlaq himself to march towards Mewar with his strong army. In the ensuing battle, the Tughlaq army was defeated and Muha",https://en.wikipedia.org/wiki/Battle_of_Singoli
East Chongwu,Unknown,"The Battle of East Chongwu (Chinese: 崇武以东海战), also known in Taiwan as the Battle of Wuqiu (Chinese: 烏坵海戰), was a naval battle fought between the Republic of China and the People's Republic of China from 13 to 14 November 1965.",https://en.wikipedia.org/wiki/Battle_of_East_Chongwu
Mantinea (362 BC),Unknown,"The Battle of Mantinea was fought on 4 July 362 BC between the Thebans, led by Epaminondas and supported by the Arcadians, Argives, Messenians, Thessalians, Euboeans and the Boeotian league against the Spartans, led by King Agesilaus II and supported by the Eleans, Athenians, and Mantineans. The battle was to determine which of the two alliances would dominate Greece. However, the death of Epaminondas and his intended successors would cost Thebes the military leadership and initiative to maintai",https://en.wikipedia.org/wiki/Battle_of_Mantinea_(362_BC)
Leyte Gulf,Unknown,"The Battle of Leyte Gulf (Japanese: レイテ沖海戦, romanized: Reite oki Kaisen, lit. 'Leyte Open Sea Naval Battle') 23–26 October 1944, was the largest naval battle of World War II and by some criteria the largest naval battle in history, with over 200,000 naval personnel involved.
By late 1944, Japan possessed fewer capital ships (aircraft carriers and battleships) than the Allied forces had total aircraft carriers in the Pacific, which underscored the disparity in force strength at that point in the ",https://en.wikipedia.org/wiki/Battle_of_Leyte_Gulf
Second Sino-Japanese War,Unknown,"The Second Sino-Japanese War was fought between the Republic of China and the Empire of Japan between 1937 and 1945, following a period of war localized to Manchuria that started in 1931. It is considered part of World War II, and often regarded as the beginning of World War II in Asia. It was the largest Asian war in the 20th century and has been described by the victims as The Asian Holocaust, in reference to the scale of Japanese war crimes against Chinese civilians, similar to the European o",https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Men of War: Vietnam,Unknown,"Men of War: Vietnam (Russian: Диверсанты: Вьетнам, or Saboteurs: Vietnam) is a real-time tactics and strategy game developed and published by 1C Company. It is the fourth game in the Men of War series. The game was released on September 9, 2011, for Microsoft Windows, and is set during the Vietnam War.",https://en.wikipedia.org/wiki/Men_of_War:_Vietnam
York (867),Unknown,"The Battle of York was fought between the Vikings of the Great Heathen Army and the Anglo-Saxon Kingdom of Northumbria on 21 March 867 in the city of York.
Formerly controlled by the Roman Empire, York had been taken over by the Anglo-Saxons and had become the capital of the Kingdom of Northumbria. In 866 this kingdom was in the middle of a civil war, with Ælla and Osberht both claiming the crown. The Vikings, who had arrived on the eastern shores of the British Isles led by Ubba and Ivar, were ",https://en.wikipedia.org/wiki/Battle_of_York_(867)
War Thunder,Unknown,"War Thunder is a 2013 free-to-play vehicular combat multiplayer video game produced by Gaijin Entertainment for Microsoft Windows, macOS, Linux, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X/S, Oculus, and Vive. It was first released in November 2012 as an open beta with a worldwide release in January 2013; it had its official release on December 21, 2016. A spinoff game called War Thunder Mobile (also known as War Thunder Edge) was released in 2023 for Android and iOS.
Developed as a ""f",https://en.wikipedia.org/wiki/War_Thunder
Italian front (World War I),Unknown,"The Italian front (Italian: Fronte italiano; German: Südwestfront) was one of the main theatres of war of World War I. It involved a series of military engagements along the border between the Kingdom of Italy and Austria-Hungary from 1915 to 1918. Following secret promises made by the Entente in the 1915 Treaty of London, the Kingdom of Italy entered the war on the Entente side, aiming to annex the Austrian Littoral, northern Dalmatia and the territories of present-day Trentino and South Tyrol.",https://en.wikipedia.org/wiki/Italian_front_(World_War_I)
Medieval warfare,Unknown,"Medieval warfare is the warfare of the Middle Ages. Technological, cultural, and social advancements had forced a severe transformation in the character of warfare from antiquity, changing military tactics and the role of cavalry and artillery (see military history). In terms of fortification, the Middle Ages saw the emergence of the castle in Europe, which then spread to the Holy Land (modern day Israel and Palestine).",https://en.wikipedia.org/wiki/Medieval_warfare
Battle (formation),Unknown,"A battle or bataille was a division of a medieval army. The word may be rendered as ""battalion"", but Abels and Bachrach et al. state this is not accurate because the bataille was a completely ad hoc formation.
In late medieval warfare, field armies were often drawn up into three main battles, also called guards or wards: the vanguard (avant-garde), the middle guard, and the rearguard (arrière-garde), often abbreviated to simply the van, middle, and rear. These terms imply, correctly, that the va",https://en.wikipedia.org/wiki/Battle_(formation)
Origins of the American Civil War,Unknown,"The origins of the American Civil War were rooted in the desire of the Southern states to preserve and expand the institution of slavery. Historians in the 21st century overwhelmingly agree on the centrality of slavery in the conflict. They disagree on which aspects (ideological, economic, political, or social) were most important, and on the North's reasons for refusing to allow the Southern states to secede. The negationist Lost Cause ideology denies that slavery was the principal cause of the",https://en.wikipedia.org/wiki/Origins_of_the_American_Civil_War
