name,year,summary
Verdun,21 ,"The Battle of Verdun (French: Bataille de Verdun [bataj də vɛʁdœ̃]; German: Schlacht um Verdun [ʃlaxt ʔʊm ˈvɛɐ̯dœ̃]) was fought from 21 February to 18 December 1916 on the Western Front in France. The battle was the longest of the First World War and took place on the hills north of Verdun. The German 5th Army attacked the defences of the Fortified Region of Verdun (RFV, Région Fortifiée de Verdun) and those of the French Second Army on the right (east) bank of the Meuse. Using the experience of"
the Somme,1 ,"The Battle of the Somme (French: Bataille de la Somme; German: Schlacht an der Somme), also known as the Somme offensive, was a battle of the First World War fought by the armies of the British Empire and the French Republic against the German Empire. It took place between 1 July and 18 November 1916 on both sides of the upper reaches of the river Somme in France. The battle was intended to hasten a victory for the Allies. More than three million men fought in the battle, of whom more than one m"
Britain,18 ,"The Battle of Britain (German: Luftschlacht um England, lit. 'air battle for England') was a military campaign of the Second World War, in which the Royal Air Force (RAF) and the Fleet Air Arm (FAA) of the Royal Navy defended the United Kingdom against large-scale attacks by Nazi Germany's air force, the Luftwaffe. It was the first major military campaign fought entirely by air forces. It takes its name from the speech given by Prime Minister Winston Churchill to the House of Commons on 18 June,"
the Bulge,16 ,"The Battle of the Bulge, also known as the Ardennes Offensive or Unternehmen Wacht am Rhein, was the last major German offensive campaign on the Western Front during the Second World War, taking place from 16 December 1944 to 25 January 1945. It was launched through the densely forested Ardennes region of eastern Belgium and northern Luxembourg. The offensive was intended to stop Allied use of the Belgian port of Antwerp and to split the Allied lines, allowing the Germans to encircle and destroy"
Iwo Jima,19 ,"The Battle of Iwo Jima (硫黄島の戦い, Iōtō no Tatakai, Iōjima no Tatakai; 19 February – 26 March 1945) was a major battle in which the United States Marine Corps (USMC) and United States Navy (USN) landed on and eventually captured the island of Iwo Jima from the Imperial Japanese Army (IJA) during World War II. The American invasion, designated Operation Detachment, had the goal of capturing the island with its two airfields: South Field and Central Field.
The Japanese Army positions on the island we"
Kursk,1943,"The Battle of Kursk, also called the Battle of the Kursk Salient, was a major World War II Eastern Front battle between the forces of Nazi Germany and the Soviet Union near Kursk in southwestern Russia during the summer of 1943, resulting in a Soviet victory. The Battle of Kursk is the single largest battle in the history of warfare. It ranks only behind the Battle of Stalingrad several months earlier as the most often-cited turning point in the European theatre of the war. It was one of the cos"
El Alamein,1942,"There were two Battles of El Alamein in World War II, both fought in 1942. The battles occurred during the North African campaign in Egypt, in and around an area named after a railway stop called El Alamein.

First Battle of El Alamein: 1–27 July 1942. the advance of Axis troops on Alexandria was blunted by the Allies, stopping the Italian and German forces that were trying to outflank the Allies' position
Second Battle of El Alamein: 23 October – 4 November 1942. This was an Allied Victory that"
Yorktown,Unknown,"The siege of Yorktown, also known as the Battle of Yorktown and the surrender at Yorktown, was the final major land engagement of the American Revolutionary War. It was won decisively by the Continental Army, led by George Washington, with support from the Marquis de Lafayette and French Army troops, led by the Comte de Rochambeau, and a French Navy force commanded by the Comte de Grasse, defeating the British Army commanded by British Lieutenant General Charles Cornwallis. 
The French and Ameri"
Actium,2 ,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agrippa, and the combined fleets of both Mark Antony and Cleopatra. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Mark Antony.
In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 inf"
Chalons,20,"The Battle of the Catalaunian Plains (or Fields), also called the Battle of the Campus Mauriacus, Battle of Châlons, Battle of Troyes or the Battle of Maurica, took place on June 20, 451 AD, between a coalition, led by the Roman general Flavius Aetius and the Visigothic king Theodoric I, against the Huns and their vassals, commanded by their king, Attila. It proved to be one of the last major military operations of the Western Roman Empire, although Germanic foederati composed the majority of th"
Kadesh,1274 BC,"The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ramesses II and the Hittite Empire led by king Muwatalli II. Their armies engaged each other at the Orontes River, just upstream of Lake Homs and near the archaeological site of Kadesh, along what is today the Lebanon–Syria border.
The battle is generally dated to May 1274 BC, as accounted by Egyptian chronology, and is the earliest pitched battle in recorded history for which details of tactics and"
Sekigahara,21,"The Battle of Sekigahara (Shinjitai: 関ヶ原の戦い; Kyūjitai: 關ヶ原の戰い, Hepburn romanization: Sekigahara no Tatakai) was an important battle in Japan which occurred on October 21, 1600 (Keichō 5, 15th day of the 9th month) in what is now Gifu Prefecture, Japan, at the end of the Sengoku period.
This battle was fought by the forces of Tokugawa Ieyasu against a coalition loyal to the Toyotomi clan, led by Ishida Mitsunari on behalf of the young child Toyotomi Hideyori, from which several commanders defecte"
Red Cliffs,208,"The Battle of Red Cliffs, also known as the Battle of Chibi, was a decisive naval battle in China that took place during the winter of AD 208–209. It was fought on the Yangtze River between the forces of warlords controlling different parts of the country during the end of the Han dynasty. The allied forces of Sun Quan, Liu Bei, and Liu Qi based south of the Yangtze defeated the numerically superior forces of the northern warlord Cao Cao. By doing so,  Liu Bei and Sun Quan prevented Cao Cao from"
Plassey,23 ,"The Battle of Plassey was a decisive victory of the British East India Company, under the leadership of Robert Clive, over the Nawab of Bengal and his French allies on 23 June 1757. The victory was made possible by the defection of Mir Jafar, Nawab Siraj-ud-Daulah's commander in chief, as well as much of the Bengal Subah's armies being earlier committed against an Afghan invasion led by Ahmad Shah Durrani against the Mughal Empire. The battle helped the British East India Company take control of"
Blenheim,13 ,"The Battle of Blenheim (German: Zweite Schlacht bei Höchstädt; French: Bataille de Höchstädt; Dutch: Slag bij Blenheim) fought on 13 August [O.S. 2 August] 1704, was a major battle of the War of the Spanish Succession. The overwhelming Allied victory ensured the safety of Vienna from the Franco-Bavarian army, thus preventing the collapse of the reconstituted Grand Alliance.
Louis XIV of France sought to knock the Holy Roman Emperor, Leopold out of the war by seizing Vienna, the Habsburg capital,"
Saratoga,19 ,"The Battles of Saratoga (September 19 and October 7, 1777) were two battles between the American Continental Army and the British Army fought near Saratoga, New York, concluding the Saratoga campaign in the American Revolutionary War. The second battle ended with a decisive American victory, greatly affecting the course of the conflict and persuading France to enter the war as an American ally. In both battles, General John Burgoyne commanded the British forces, while General Horatio Gates led t"
Omdurman,2 ,"The Battle of Omdurman,  also known as the Battle of Karary, was fought during the Anglo-Egyptian conquest of Sudan between a British–Egyptian expeditionary force commanded by British Commander-in-Chief (sirdar) major general Horatio Herbert Kitchener and a Sudanese army of the Mahdist State, led by Abdallahi ibn Muhammad (the Khalifa), the successor to the self-proclaimed Mahdi, Muhammad Ahmad. The battle took place on 2 September 1898, at Kerreri, 11 kilometres (6.8 mi) north of Omdurman.
Foll"
Tannenberg,23 ,"The Battle of Tannenberg, also known as the Second Battle of Tannenberg, was fought between Russia and Germany between 23 and 30 August 1914, the first month of World War I. The battle resulted in the encirclement and the almost complete destruction of the Russian 2nd Army by the German 8th Army and the suicide of its commanding general, Alexander Samsonov. A series of follow-up battles (First Masurian Lakes) led to the ousting of the Russian 1st Army from East Prussia.
The outcome brought consi"
Poltava,8 ,"The Battle of Poltava took place 8 July 1709, was the decisive and largest battle of the Great Northern War. The Russian army under the command of Tsar Peter I defeated the Swedish army commanded by Carl Gustaf Rehnskiöld. The battle would lead to the Swedish Empire losing its status as a European great power and also marked the beginning of Russian supremacy in eastern Europe. 
During the course of six years in the initial stages of the war, King Charles XII and the Swedish Empire had defeated "
