battle,battleLabel,date,location
http://www.wikidata.org/entity/Q151340,Battle of France,,http://www.wikidata.org/entity/Q32
http://www.wikidata.org/entity/Q151340,Battle of France,,http://www.wikidata.org/entity/Q55
http://www.wikidata.org/entity/Q151340,Battle of France,,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q152008,Operation Michael,,http://www.wikidata.org/entity/Q18677767
http://www.wikidata.org/entity/Q152158,Battle of Totopotomoy Creek,,http://www.wikidata.org/entity/Q341679
http://www.wikidata.org/entity/Q152295,Battle of Worringen,1288-06-12T00:00:00Z,http://www.wikidata.org/entity/Q153406
http://www.wikidata.org/entity/Q152486,Battle of Poltava,1709-07-08T00:00:00Z,http://www.wikidata.org/entity/Q156747
http://www.wikidata.org/entity/Q153316,Battle of Crete,,http://www.wikidata.org/entity/Q34374
http://www.wikidata.org/entity/Q153376,Second Battle of El Alamein,,http://www.wikidata.org/entity/Q204439
http://www.wikidata.org/entity/Q153702,Battle of Beroia,1122-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11909204
http://www.wikidata.org/entity/Q153712,Battle of Parabiago,1339-02-21T00:00:00Z,http://www.wikidata.org/entity/Q42629
http://www.wikidata.org/entity/Q153858,Battle of Tannenberg,,http://www.wikidata.org/entity/Q82765
http://www.wikidata.org/entity/Q154182,Battle of Berlin,,http://www.wikidata.org/entity/Q64
http://www.wikidata.org/entity/Q154426,Battle of Jena–Auerstedt,1806-10-14T00:00:00Z,http://www.wikidata.org/entity/Q3150
http://www.wikidata.org/entity/Q154635,Battle of Blenheim,1704-08-13T00:00:00Z,http://www.wikidata.org/entity/Q514914
http://www.wikidata.org/entity/Q154942,Battle of Königgrätz,1866-07-03T00:00:00Z,http://www.wikidata.org/entity/Q1013904
http://www.wikidata.org/entity/Q154942,Battle of Königgrätz,1866-07-03T00:00:00Z,http://www.wikidata.org/entity/Q92891947
http://www.wikidata.org/entity/Q155103,Siege of Budapest,1944-12-24T00:00:00Z,http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q155302,Battle of Loigny-Poupry,1870-12-02T00:00:00Z,http://www.wikidata.org/entity/Q646232
http://www.wikidata.org/entity/Q155302,Battle of Loigny-Poupry,1870-12-02T00:00:00Z,http://www.wikidata.org/entity/Q981090
http://www.wikidata.org/entity/Q155302,Battle of Loigny-Poupry,1870-12-02T00:00:00Z,http://www.wikidata.org/entity/Q1075525
http://www.wikidata.org/entity/Q155302,Battle of Loigny-Poupry,1870-12-02T00:00:00Z,http://www.wikidata.org/entity/Q1139455
http://www.wikidata.org/entity/Q155620,Second Battle of Kharkov,,http://www.wikidata.org/entity/Q42308
http://www.wikidata.org/entity/Q155676,Battle of Somosierra,1808-11-30T00:00:00Z,http://www.wikidata.org/entity/Q1016225
http://www.wikidata.org/entity/Q155726,Battle of Narva,1700-11-30T00:00:00Z,http://www.wikidata.org/entity/Q102158
http://www.wikidata.org/entity/Q156681,Battle of Sedan,,http://www.wikidata.org/entity/Q184371
http://www.wikidata.org/entity/Q156703,Battle of Castione,1449-07-06T00:00:00Z,http://www.wikidata.org/entity/Q69788
http://www.wikidata.org/entity/Q157873,Third Battle of Kharkov,,http://www.wikidata.org/entity/Q42308
http://www.wikidata.org/entity/Q159072,Battle of Ulm,1805-10-20T00:00:00Z,http://www.wikidata.org/entity/Q3012
http://www.wikidata.org/entity/Q159512,Battle of Legnica,1241-04-16T00:00:00Z,http://www.wikidata.org/entity/Q355403
http://www.wikidata.org/entity/Q160077,Fall of Constantinople,,http://www.wikidata.org/entity/Q16869
http://www.wikidata.org/entity/Q161033,Demyansk Pocket,1942-05-20T00:00:00Z,http://www.wikidata.org/entity/Q372935
http://www.wikidata.org/entity/Q161325,Battle of Ramillies,1706-05-23T00:00:00Z,http://www.wikidata.org/entity/Q531456
http://www.wikidata.org/entity/Q162250,First Battle of El Alamein,,http://www.wikidata.org/entity/Q204439
http://www.wikidata.org/entity/Q162284,Battle of Kiev,1941-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1899
http://www.wikidata.org/entity/Q162287,Battle of Hürtgen Forest,,http://www.wikidata.org/entity/Q469253
http://www.wikidata.org/entity/Q162357,Battle of Smolensk,1941-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2337
http://www.wikidata.org/entity/Q163959,Battle of Héricourt,1474-11-13T00:00:00Z,http://www.wikidata.org/entity/Q844979
http://www.wikidata.org/entity/Q164697,Battle of Riade,0933-03-20T00:00:00Z,http://www.wikidata.org/entity/Q5061125
http://www.wikidata.org/entity/Q165549,Battle of the Bzura,,http://www.wikidata.org/entity/Q202160
http://www.wikidata.org/entity/Q166015,Battle of Lesnaya,1708-10-09T00:00:00Z,http://www.wikidata.org/entity/Q13028176
http://www.wikidata.org/entity/Q166218,Battle of Tacuarembó,1820-01-22T00:00:00Z,http://www.wikidata.org/entity/Q833016
http://www.wikidata.org/entity/Q166495,Catalonia Offensive,,http://www.wikidata.org/entity/Q5705
http://www.wikidata.org/entity/Q166929,Battle of Avesnes-le-Sec,1793-09-12T00:00:00Z,http://www.wikidata.org/entity/Q1116747
http://www.wikidata.org/entity/Q166961,Battle of Shrewsbury,1403-07-30T00:00:00Z,http://www.wikidata.org/entity/Q3811332
http://www.wikidata.org/entity/Q167002,Operation Greif,1944-12-16T00:00:00Z,
http://www.wikidata.org/entity/Q167143,Raid on Berlin,1760-10-01T00:00:00Z,http://www.wikidata.org/entity/Q64
http://www.wikidata.org/entity/Q167259,Battle of Lützen,1632-11-16T00:00:00Z,http://www.wikidata.org/entity/Q2079
http://www.wikidata.org/entity/Q167971,Pursuit of Krasnokutsk,1709-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4238800
http://www.wikidata.org/entity/Q169023,Battle of Talavera,1809-07-28T00:00:00Z,http://www.wikidata.org/entity/Q181359
http://www.wikidata.org/entity/Q169436,Battle of Rostov,1941-01-01T00:00:00Z,http://www.wikidata.org/entity/Q908
http://www.wikidata.org/entity/Q169602,Battle of Jakobstadt,1704-08-05T00:00:00Z,http://www.wikidata.org/entity/Q191120
http://www.wikidata.org/entity/Q170113,Battle of Saint Gotthard,1664-08-01T00:00:00Z,http://www.wikidata.org/entity/Q604516
http://www.wikidata.org/entity/Q170265,Battle of Bautzen,,http://www.wikidata.org/entity/Q14835
http://www.wikidata.org/entity/Q170400,Battle of Kunersdorf,1759-08-12T00:00:00Z,http://www.wikidata.org/entity/Q749717
http://www.wikidata.org/entity/Q172240,Battles for Vilnius,,http://www.wikidata.org/entity/Q216
http://www.wikidata.org/entity/Q172368,Battle of Sirmium,1167-01-01T00:00:00Z,http://www.wikidata.org/entity/Q189419
http://www.wikidata.org/entity/Q173077,Battle of Tours,0732-10-14T00:00:00Z,http://www.wikidata.org/entity/Q6616
http://www.wikidata.org/entity/Q174253,Battle of Tegyra,-0374-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2361783
http://www.wikidata.org/entity/Q174574,Battle of Freiburg,,http://www.wikidata.org/entity/Q2833
http://www.wikidata.org/entity/Q175513,Battle of Assam,1871-07-11T00:00:00Z,http://www.wikidata.org/entity/Q1974228
http://www.wikidata.org/entity/Q175985,Battle of Telamon,-0224-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2073211
http://www.wikidata.org/entity/Q176216,Battle of Yellow Tavern,1864-05-11T00:00:00Z,http://www.wikidata.org/entity/Q341679
http://www.wikidata.org/entity/Q176416,Battle of Sphacteria,-0424-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1303524
http://www.wikidata.org/entity/Q176915,Battle of Tinian,,http://www.wikidata.org/entity/Q325652
http://www.wikidata.org/entity/Q177283,Altmark Incident,1940-02-16T00:00:00Z,http://www.wikidata.org/entity/Q2297832
http://www.wikidata.org/entity/Q177470,Battle of Stoney Creek,1813-06-06T00:00:00Z,http://www.wikidata.org/entity/Q18571986
http://www.wikidata.org/entity/Q178219,Battle of Mellrichstadt,1078-08-13T00:00:00Z,http://www.wikidata.org/entity/Q552523
http://www.wikidata.org/entity/Q178510,Battle of Mohács,1526-08-29T00:00:00Z,http://www.wikidata.org/entity/Q385260
http://www.wikidata.org/entity/Q178842,Battle of Waterberg,1904-08-11T00:00:00Z,http://www.wikidata.org/entity/Q1691293
http://www.wikidata.org/entity/Q179288,Battle of Kosovo,1389-07-06T00:00:00Z,http://www.wikidata.org/entity/Q20988473
http://www.wikidata.org/entity/Q179455,Battle of the Hellespont,0324-07-01T00:00:00Z,http://www.wikidata.org/entity/Q6514
http://www.wikidata.org/entity/Q179591,Battle of Cannae,-0215-07-29T00:00:00Z,http://www.wikidata.org/entity/Q568611
http://www.wikidata.org/entity/Q179591,Battle of Cannae,-0215-07-29T00:00:00Z,http://www.wikidata.org/entity/Q913582
http://www.wikidata.org/entity/Q184320,Battle of Borodino,1812-09-07T00:00:00Z,http://www.wikidata.org/entity/Q894049
http://www.wikidata.org/entity/Q186107,Battle of Stockach,1799-03-25T00:00:00Z,http://www.wikidata.org/entity/Q61752
http://www.wikidata.org/entity/Q188123,Battle of Villiers,,http://www.wikidata.org/entity/Q258636
http://www.wikidata.org/entity/Q188495,Battle of Agincourt,1415-11-03T00:00:00Z,http://www.wikidata.org/entity/Q238339
http://www.wikidata.org/entity/Q188925,Battles of Khalkhin Gol,,http://www.wikidata.org/entity/Q715797
http://www.wikidata.org/entity/Q190712,First Battle of the Marne,,http://www.wikidata.org/entity/Q191128
http://www.wikidata.org/entity/Q192473,Battle of Adrianople,0378-08-10T00:00:00Z,http://www.wikidata.org/entity/Q43387
http://www.wikidata.org/entity/Q192660,Battle of Okinawa,1945-01-01T00:00:00Z,http://www.wikidata.org/entity/Q697589
http://www.wikidata.org/entity/Q192660,Battle of Okinawa,1945-01-01T00:00:00Z,http://www.wikidata.org/entity/Q697593
http://www.wikidata.org/entity/Q192938,Battle of the Granicus,-0333-05-01T00:00:00Z,http://www.wikidata.org/entity/Q1268444
http://www.wikidata.org/entity/Q193993,Battle of Pea Ridge,1862-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61020
http://www.wikidata.org/entity/Q194226,Battle of Yarmouk,,http://www.wikidata.org/entity/Q849470
http://www.wikidata.org/entity/Q194329,Battle of Five Forks,1865-04-01T00:00:00Z,http://www.wikidata.org/entity/Q511964
http://www.wikidata.org/entity/Q194951,Battle of Haram,1125-01-01T00:00:00Z,http://www.wikidata.org/entity/Q806130
http://www.wikidata.org/entity/Q194951,Battle of Haram,1128-01-01T00:00:00Z,http://www.wikidata.org/entity/Q806130
http://www.wikidata.org/entity/Q195118,Battle of Old Church,1864-05-30T00:00:00Z,http://www.wikidata.org/entity/Q341679
http://www.wikidata.org/entity/Q195881,Battle of the 300 Champions,-0545-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3036391
http://www.wikidata.org/entity/Q196742,Burning of Louvain,,http://www.wikidata.org/entity/Q118958
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q23792
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q218907
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q430776
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q763829
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1294629
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2463859
http://www.wikidata.org/entity/Q200032,Battle of Manzikert,1071-08-26T00:00:00Z,http://www.wikidata.org/entity/Q746811
http://www.wikidata.org/entity/Q200056,Battle of Zama,-0201-10-15T00:00:00Z,http://www.wikidata.org/entity/Q1892445
http://www.wikidata.org/entity/Q200682,Battle of Queenston Heights,1812-10-13T00:00:00Z,http://www.wikidata.org/entity/Q7271089
http://www.wikidata.org/entity/Q200716,Battle of Chaeronea,-0337-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13574678
http://www.wikidata.org/entity/Q200855,Battle of Vienna,1683-09-12T00:00:00Z,http://www.wikidata.org/entity/Q697119
http://www.wikidata.org/entity/Q201526,Battle of Issus,-0332-10-31T00:00:00Z,http://www.wikidata.org/entity/Q1360503
http://www.wikidata.org/entity/Q201692,Battle of Poitiers,1356-09-19T00:00:00Z,http://www.wikidata.org/entity/Q646530
http://www.wikidata.org/entity/Q203225,Battle of Stamford Bridge,1066-09-25T00:00:00Z,http://www.wikidata.org/entity/Q2270867
http://www.wikidata.org/entity/Q203233,Battle of Plassey,1757-06-23T00:00:00Z,http://www.wikidata.org/entity/Q3346548
http://www.wikidata.org/entity/Q203234,Battle of Épehy,1918-09-18T00:00:00Z,http://www.wikidata.org/entity/Q81992
http://www.wikidata.org/entity/Q203366,Q203366,1531-11-03T00:00:00Z,
http://www.wikidata.org/entity/Q203681,Battle of Pharsalus,-0047-06-04T00:00:00Z,http://www.wikidata.org/entity/Q985596
http://www.wikidata.org/entity/Q203681,Battle of Pharsalus,-0047-06-27T00:00:00Z,http://www.wikidata.org/entity/Q985596
http://www.wikidata.org/entity/Q203681,Battle of Pharsalus,-0047-08-07T00:00:00Z,http://www.wikidata.org/entity/Q985596
http://www.wikidata.org/entity/Q203729,Battle of Kadesh,-1273-05-01T00:00:00Z,http://www.wikidata.org/entity/Q690035
http://www.wikidata.org/entity/Q204343,Battle of Sellasia,-0221-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15709786
http://www.wikidata.org/entity/Q204636,Battle of Plataea,-0478-08-22T00:00:00Z,http://www.wikidata.org/entity/Q742538
http://www.wikidata.org/entity/Q205379,Battle of Breitenfeld,1631-09-17T00:00:00Z,http://www.wikidata.org/entity/Q873362
http://www.wikidata.org/entity/Q205422,Battle of the Little Bighorn,1876-06-25T00:00:00Z,http://www.wikidata.org/entity/Q608969
http://www.wikidata.org/entity/Q205887,Battle of Carrhae,-0052-06-07T00:00:00Z,http://www.wikidata.org/entity/Q199547
http://www.wikidata.org/entity/Q207250,Battle of Lake Trasimene,-0216-06-17T00:00:00Z,http://www.wikidata.org/entity/Q188487
http://www.wikidata.org/entity/Q208529,Battle of Dunkirk,,http://www.wikidata.org/entity/Q45797
http://www.wikidata.org/entity/Q208816,Battle of Gerona,,http://www.wikidata.org/entity/Q24001084
http://www.wikidata.org/entity/Q209359,Battle of Vimeiro,1808-08-20T00:00:00Z,http://www.wikidata.org/entity/Q1932382
http://www.wikidata.org/entity/Q209387,Battle of Ankara,1402-07-29T00:00:00Z,http://www.wikidata.org/entity/Q6011484
http://www.wikidata.org/entity/Q209721,Battle of Cabezón,1808-06-12T00:00:00Z,http://www.wikidata.org/entity/Q1650608
http://www.wikidata.org/entity/Q210354,Battle of Kulikovo,1380-09-16T00:00:00Z,http://www.wikidata.org/entity/Q2074297
http://www.wikidata.org/entity/Q210423,Battle of Xiaoyao Ford,,http://www.wikidata.org/entity/Q185684
http://www.wikidata.org/entity/Q211211,Battle of Kelja,,http://www.wikidata.org/entity/Q2626296
http://www.wikidata.org/entity/Q211219,Battle of Chinsurah,,http://www.wikidata.org/entity/Q1006256
http://www.wikidata.org/entity/Q211220,Battle of Chandannagar,1757-03-23T00:00:00Z,http://www.wikidata.org/entity/Q695591
http://www.wikidata.org/entity/Q212220,Battle of Nicopolis,1396-09-25T00:00:00Z,http://www.wikidata.org/entity/Q409102
http://www.wikidata.org/entity/Q213074,Battle of the Hydaspes,-0325-05-01T00:00:00Z,http://www.wikidata.org/entity/Q32429
http://www.wikidata.org/entity/Q219230,Marco Polo Bridge incident,,http://www.wikidata.org/entity/Q1060121
http://www.wikidata.org/entity/Q219697,Battle of Las Navas de Tolosa,1212-07-23T00:00:00Z,http://www.wikidata.org/entity/Q1774857
http://www.wikidata.org/entity/Q220766,Battle of Manzikert,1915-01-01T00:00:00Z,http://www.wikidata.org/entity/Q746811
http://www.wikidata.org/entity/Q220882,Operation Junction City,,http://www.wikidata.org/entity/Q130391
http://www.wikidata.org/entity/Q221469,First Battle of Bull Run,1861-07-21T00:00:00Z,http://www.wikidata.org/entity/Q341915
http://www.wikidata.org/entity/Q221469,First Battle of Bull Run,1861-07-21T00:00:00Z,http://www.wikidata.org/entity/Q6747016
http://www.wikidata.org/entity/Q221703,Battle of the Ardennes,,http://www.wikidata.org/entity/Q151985
http://www.wikidata.org/entity/Q221891,Second Battle of Artois,,http://www.wikidata.org/entity/Q159987
http://www.wikidata.org/entity/Q221967,Brusilov Offensive,,http://www.wikidata.org/entity/Q180086
http://www.wikidata.org/entity/Q222013,Battle of Bosworth Field,1485-08-22T00:00:00Z,http://www.wikidata.org/entity/Q4741491
http://www.wikidata.org/entity/Q222013,Battle of Bosworth Field,1485-08-22T00:00:00Z,http://www.wikidata.org/entity/Q55876564
http://www.wikidata.org/entity/Q222520,Battle of Bannockburn,,http://www.wikidata.org/entity/Q806906
http://www.wikidata.org/entity/Q222520,Battle of Bannockburn,,http://www.wikidata.org/entity/Q108258508
http://www.wikidata.org/entity/Q223220,Battle of Megalopolis,-0330-01-01T00:00:00Z,http://www.wikidata.org/entity/Q823721
http://www.wikidata.org/entity/Q223622,Battle of Prague,1757-05-06T00:00:00Z,http://www.wikidata.org/entity/Q1085
http://www.wikidata.org/entity/Q225562,Battle of Shizugatake,1583-06-11T00:00:00Z,http://www.wikidata.org/entity/Q11635097
http://www.wikidata.org/entity/Q233219,Second Battle of Ypres,,http://www.wikidata.org/entity/Q102728
http://www.wikidata.org/entity/Q233242,Second Battle of the Isonzo,,http://www.wikidata.org/entity/Q202760
http://www.wikidata.org/entity/Q233278,Operation Spark,,http://www.wikidata.org/entity/Q656
http://www.wikidata.org/entity/Q233343,Second Battle of Bull Run,1862-01-01T00:00:00Z,http://www.wikidata.org/entity/Q183263
http://www.wikidata.org/entity/Q233344,Battle of the Silarius River,-0070-01-01T00:00:00Z,http://www.wikidata.org/entity/Q937958
http://www.wikidata.org/entity/Q233350,Second Battle of Chlumec,1126-02-25T00:00:00Z,http://www.wikidata.org/entity/Q387840
http://www.wikidata.org/entity/Q233352,Battle of Chaeronea,-0085-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13574678
http://www.wikidata.org/entity/Q233356,Battle of Lacolle Mills,1814-03-30T00:00:00Z,http://www.wikidata.org/entity/Q18571979
http://www.wikidata.org/entity/Q233360,Second Battle of Corinth,,http://www.wikidata.org/entity/Q1992093
http://www.wikidata.org/entity/Q233363,Second Battle of Beneventum,-0211-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13437
http://www.wikidata.org/entity/Q233366,Second Battle of Drepana,-0242-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4951156
http://www.wikidata.org/entity/Q233373,Battle of Capua,-0210-01-01T00:00:00Z,http://www.wikidata.org/entity/Q58477
http://www.wikidata.org/entity/Q233379,Second Battle of Krithia,,http://www.wikidata.org/entity/Q1889135
http://www.wikidata.org/entity/Q233386,Battle of Herdonia,-0209-01-01T00:00:00Z,http://www.wikidata.org/entity/Q51938
http://www.wikidata.org/entity/Q233399,Battle of Mantinea,-0361-06-29T00:00:00Z,http://www.wikidata.org/entity/Q1160195
http://www.wikidata.org/entity/Q233402,Battle of Nola,-0214-01-01T00:00:00Z,http://www.wikidata.org/entity/Q72288
http://www.wikidata.org/entity/Q233405,Second Battle of Porto,1809-05-12T00:00:00Z,http://www.wikidata.org/entity/Q36433
http://www.wikidata.org/entity/Q233406,Second Battle of Tarentum,-0208-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13498
http://www.wikidata.org/entity/Q233414,Battle of Panipat,1556-11-05T00:00:00Z,http://www.wikidata.org/entity/Q139706
http://www.wikidata.org/entity/Q233416,Second Battle of St Albans,1461-02-26T00:00:00Z,http://www.wikidata.org/entity/Q6226
http://www.wikidata.org/entity/Q233417,Battle of the Assunpink Creek,1777-01-02T00:00:00Z,http://www.wikidata.org/entity/Q25330
http://www.wikidata.org/entity/Q233421,Second Battle of Villmergen,,
http://www.wikidata.org/entity/Q233426,Second Battle of Zurich,,http://www.wikidata.org/entity/Q72
http://www.wikidata.org/entity/Q233568,Battle of Hattin,,http://www.wikidata.org/entity/Q1411801
http://www.wikidata.org/entity/Q234188,Battle of Sekigahara,1600-10-21T00:00:00Z,http://www.wikidata.org/entity/Q45798
http://www.wikidata.org/entity/Q234188,Battle of Sekigahara,1600-10-21T00:00:00Z,http://www.wikidata.org/entity/Q427600
http://www.wikidata.org/entity/Q235344,Battle of the Alamo,,http://www.wikidata.org/entity/Q975
http://www.wikidata.org/entity/Q330,Battle of Marignano,,http://www.wikidata.org/entity/Q42932
http://www.wikidata.org/entity/Q1392,Battle of Nieuwpoort,1600-07-02T00:00:00Z,http://www.wikidata.org/entity/Q623310
http://www.wikidata.org/entity/Q3956,Battle of Jarama,1937-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2807
http://www.wikidata.org/entity/Q4215,Battle for Vlasenica,1943-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4217,Battle for Vlasenica,1942-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4373,Battle of White Mountain,1620-11-08T00:00:00Z,http://www.wikidata.org/entity/Q1019541
http://www.wikidata.org/entity/Q4411,Battle of Valmy,1792-09-20T00:00:00Z,http://www.wikidata.org/entity/Q213307
http://www.wikidata.org/entity/Q6891,Battle of Bagradas,-0254-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3572
http://www.wikidata.org/entity/Q12428,Battle of Dorylaeum,1097-07-07T00:00:00Z,http://www.wikidata.org/entity/Q1250866
http://www.wikidata.org/entity/Q13190,Battle of Bolia,0469-01-01T00:00:00Z,http://www.wikidata.org/entity/Q170062
http://www.wikidata.org/entity/Q14689,Battle of the Ice,1242-04-12T00:00:00Z,http://www.wikidata.org/entity/Q19253
http://www.wikidata.org/entity/Q16470,Normandy landings,,http://www.wikidata.org/entity/Q15878
http://www.wikidata.org/entity/Q16470,Normandy landings,,http://www.wikidata.org/entity/Q2879719
http://www.wikidata.org/entity/Q16992,Battle of Przemyśl,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q208473
http://www.wikidata.org/entity/Q17594,Battle of Dresden,,http://www.wikidata.org/entity/Q1731
http://www.wikidata.org/entity/Q25578,Battle of Lula-Rugaro,,http://www.wikidata.org/entity/Q836675
http://www.wikidata.org/entity/Q25628,Great stand on the Ugra river,1480-01-01T00:00:00Z,http://www.wikidata.org/entity/Q264040
http://www.wikidata.org/entity/Q25801,Battle of Našice,,http://www.wikidata.org/entity/Q397652
http://www.wikidata.org/entity/Q25809,Battle of Krasnoi,,http://www.wikidata.org/entity/Q658905
http://www.wikidata.org/entity/Q26493,Battle of Dandanaqan,1040-05-29T00:00:00Z,http://www.wikidata.org/entity/Q193325
http://www.wikidata.org/entity/Q26496,Battle of Surabaya,,http://www.wikidata.org/entity/Q11462
http://www.wikidata.org/entity/Q26757,Battle of Ongjin,,http://www.wikidata.org/entity/Q483530
http://www.wikidata.org/entity/Q27759,Battle of Crécy,1346-09-03T00:00:00Z,http://www.wikidata.org/entity/Q61765
http://www.wikidata.org/entity/Q27900,Siege of Constantinople,,http://www.wikidata.org/entity/Q16869
http://www.wikidata.org/entity/Q28205,Battle of the Vistula River,,http://www.wikidata.org/entity/Q270
http://www.wikidata.org/entity/Q28651,Siege of Bitche,,http://www.wikidata.org/entity/Q22754
http://www.wikidata.org/entity/Q28703,Brécourt Manor Assault,1944-06-06T00:00:00Z,
http://www.wikidata.org/entity/Q29009,American airborne landings in Normandy,,http://www.wikidata.org/entity/Q463529
http://www.wikidata.org/entity/Q29607,Battle of Pirajá,1822-11-08T00:00:00Z,http://www.wikidata.org/entity/Q40430
http://www.wikidata.org/entity/Q29680,Battle of Salsu,0612-01-01T00:00:00Z,http://www.wikidata.org/entity/Q499266
http://www.wikidata.org/entity/Q29730,Siege of Antwerp,,http://www.wikidata.org/entity/Q12892
http://www.wikidata.org/entity/Q29802,Battle of Rodeo del Medio,1841-09-24T00:00:00Z,
http://www.wikidata.org/entity/Q31900,Battle of Marathon,-0489-09-07T00:00:00Z,http://www.wikidata.org/entity/Q212150
http://www.wikidata.org/entity/Q32198,Battle of Gloucester,1775-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1034267
http://www.wikidata.org/entity/Q32493,Battle of Rocoux,1746-10-11T00:00:00Z,http://www.wikidata.org/entity/Q3438046
http://www.wikidata.org/entity/Q32559,Siege of Vyborg,1706-01-01T00:00:00Z,http://www.wikidata.org/entity/Q14657
